FID,BoroCT2010,Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T004_014,SE_T004_015,SE_T004_016,SE_T004_017,SE_T004_018,SE_T004_019,SE_T004_020,SE_T004_021,SE_T004_022,SE_T004_023,SE_T004_024,SE_T004_025,SE_T004_026,SE_T004_027,SE_T004A001,SE_T004A002,SE_T004A003,SE_T004A004,SE_T004A005,SE_T004A006,SE_T004A007,SE_T004A008,SE_T004A009,SE_T004A010,SE_T004A011,SE_T004A012,SE_T004A013,SE_T004A014,SE_T004A015,SE_T004A016,SE_T004A017,SE_T004A018,SE_T004A019,SE_T004A020,SE_T004A021,SE_T004A022,SE_T004A023,SE_T004A024,SE_T004A025,SE_T004B001,SE_T004B002,SE_T004B003,SE_T004B004,SE_T004B005,SE_T004B006,SE_T004B007,SE_T004B008,SE_T004B009,SE_T004B010,SE_T004B011,SE_T004B012,SE_T004B013,SE_T004B014,SE_T004B015,SE_T004B016,SE_T004B017,SE_T004B018,SE_T004B019,SE_T004B020,SE_T004B021,SE_T004B022,SE_T004B023,SE_T004B024,SE_T004B025,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T008A001,SE_T008A002,SE_T008A003,SE_T008A004,SE_T008A005,SE_T008A006,SE_T008A007,SE_T008A008,SE_T008A009,SE_T008A010,SE_T008A011,SE_T008A012,SE_T008B001,SE_T008B002,SE_T008B003,SE_T008B004,SE_T008B005,SE_T008B006,SE_T008B007,SE_T008B008,SE_T008B009,SE_T008B010,SE_T008B011,SE_T008B012,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T012_009,SE_T012_010,SE_T012_011,SE_T012_012,SE_T012_013,SE_T012_014,SE_T012_015,SE_T012_016,SE_T012_017,SE_T012_018,SE_T012_019,SE_T012_020,SE_T012_021,SE_T012_022,SE_T012_023,SE_T012_024,SE_T012A001,SE_T012A002,SE_T012A003,SE_T012A004,SE_T012A005,SE_T012A006,SE_T012A007,SE_T012A008,SE_T012A009,SE_T012A010,SE_T012A011,SE_T012A012,SE_T012A013,SE_T012A014,SE_T012A015,SE_T012A016,SE_T012A017,SE_T012A018,SE_T012A019,SE_T012A020,SE_T012A021,SE_T012A022,SE_T012A023,SE_T012B001,SE_T012B002,SE_T012B003,SE_T012B004,SE_T012B005,SE_T012B006,SE_T012B007,SE_T012B008,SE_T012B009,SE_T012B010,SE_T012B011,SE_T012B012,SE_T012B013,SE_T012B014,SE_T012B015,SE_T012B016,SE_T012B017,SE_T012B018,SE_T012B019,SE_T012B020,SE_T012B021,SE_T012B022,SE_T012B023,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T017_010,SE_T017_011,SE_T017_012,SE_T017_013,SE_T017_014,SE_T017_015,SE_T017_016,SE_T017_017,SE_T017_018,SE_T017_019,SE_T017_020,SE_T017_021,SE_T017_022,SE_T017_023,SE_T017_024,SE_T017A001,SE_T017A002
1537,1014700,Census Tract 147,"Census Tract 147, New York County, New York",36061014700,140,0,36,61,21,,14700,2755,2755,109080.9,0.025256488,0.02525649,0.02525649,0,2755,1333,1422,2755,1333,146,26,22,14,54,544,290,138,76,16,7,0,1422,119,23,20,17,85,635,244,154,87,22,10,6,2755,1333,146,172,194,208,262,806,1096,1234,1310,1326,1333,1422,119,142,162,179,264,899,1143,1297,1384,1406,1416,2755,1333,1187,1161,1139,1125,1071,527,237,99,23,7,0,1422,1303,1280,1260,1243,1158,523,279,125,38,16,6,2755,1333,208,598,504,23,1422,179,720,485,38,2755,265,49,42,31,139,1179,534,292,163,38,17,6,2755,265,314,356,387,526,1705,2239,2531,2694,2732,2749,2755,2490,2441,2399,2368,2229,1050,516,224,61,23,6,2755,387,1318,989,61,2755,265,49,42,31,9,9,18,103,562,617,356,178,147,145,96,27,40,16,9,13,7,10,6,2755,265,314,356,387,396,405,423,526,1088,1705,2061,2239,2386,2531,2627,2654,2694,2710,2719,2732,2739,2749,2755,2490,2441,2399,2368,2359,2350,2332,2229,1667,1050,694,516,369,224,128,101,61,45,36,23,16,6,1333,208,598,504,23,1422,179,720,485,38,1707,160,33,31,13,5,7,12,73,305,354,236,130,100,91,70,15,31,12,3,9,3,10,4,1707,160
1538,5011202,Census Tract 112.02,"Census Tract 112.02, Richmond County, New York",36085011202,140,0,36,85,19,,11202,6428,6428,8397.824,0.765436365,1.049706,0.7654364,0.28427,6428,3133,3295,6428,3133,192,173,219,133,331,425,450,512,409,168,79,42,3295,205,188,194,120,305,441,485,561,364,204,146,82,6428,3133,192,365,584,717,1048,1473,1923,2435,2844,3012,3091,3295,205,393,587,707,1012,1453,1938,2499,2863,3067,3213,6428,3133,2941,2768,2549,2416,2085,1660,1210,698,289,121,42,3295,3090,2902,2708,2588,2283,1842,1357,796,432,228,82,6428,3133,717,756,1371,289,3295,707,746,1410,432,6428,397,361,413,253,636,866,935,1073,773,372,225,124,6428,397,758,1171,1424,2060,2926,3861,4934,5707,6079,6304,6428,6031,5670,5257,5004,4368,3502,2567,1494,721,349,124,6428,1424,1502,2781,721,6428,397,361,413,253,170,91,85,290,432,434,460,475,523,550,424,161,188,98,116,158,129,96,124,6428,397,758,1171,1424,1594,1685,1770,2060,2492,2926,3386,3861,4384,4934,5358,5519,5707,5805,5921,6079,6208,6304,6428,6031,5670,5257,5004,4834,4743,4658,4368,3936,3502,3042,2567,2044,1494,1070,909,721,623,507,349,220,124,3133,717,756,1371,289,3295,707,746,1410,432,5382,305,293,334,198,139,75,72,225,347,351,377,406,444,474,372,142,171,92,101,143,116,86,119,5382,305
1539,5012804,Census Tract 128.04,"Census Tract 128.04, Richmond County, New York",36085012804,140,0,36,85,19,,12804,4259,4259,12295.1,0.34639813,0.4787242,0.3463981,0.1323261,4259,2094,2165,4259,2094,136,127,138,76,216,275,297,357,250,141,67,14,2165,121,116,124,77,200,297,320,346,291,153,85,35,4259,2094,136,263,401,477,693,968,1265,1622,1872,2013,2080,2165,121,237,361,438,638,935,1255,1601,1892,2045,2130,4259,2094,1958,1831,1693,1617,1401,1126,829,472,222,81,14,2165,2044,1928,1804,1727,1527,1230,910,564,273,120,35,4259,2094,477,491,904,222,2165,438,497,957,273,4259,257,243,262,153,416,572,617,703,541,294,152,49,4259,257,500,762,915,1331,1903,2520,3223,3764,4058,4210,4259,4002,3759,3497,3344,2928,2356,1739,1036,495,201,49,4259,915,988,1861,495,4259,257,243,262,153,121,60,64,171,283,289,291,326,327,376,306,84,151,79,107,108,84,68,49,4259,257,500,762,915,1036,1096,1160,1331,1614,1903,2194,2520,2847,3223,3529,3613,3764,3843,3950,4058,4142,4210,4259,4002,3759,3497,3344,3223,3163,3099,2928,2645,2356,2065,1739,1412,1036,730,646,495,416,309,201,117,49,2094,477,491,904,222,2165,438,497,957,273,3631,198,200,215,133,104,53,61,142,225,222,242,289,294,331,265,75,139,70,90,92,80,64,47,3631,198
1540,3091000,Census Tract 910,"Census Tract 910, Kings County, New York",36047091000,140,0,36,47,22,,91000,5610,5610,68514.97,0.081879916,0.08187991,0.08187991,0,5610,2340,3270,5610,2340,236,210,278,188,370,219,177,212,134,206,87,23,3270,186,195,246,165,387,350,435,395,317,312,204,78,5610,2340,236,446,724,912,1282,1501,1678,1890,2024,2230,2317,3270,186,381,627,792,1179,1529,1964,2359,2676,2988,3192,5610,2340,2104,1894,1616,1428,1058,839,662,450,316,110,23,3270,3084,2889,2643,2478,2091,1741,1306,911,594,282,78,5610,2340,912,589,523,316,3270,792,737,1147,594,5610,422,405,524,353,757,569,612,607,451,518,291,101,5610,422,827,1351,1704,2461,3030,3642,4249,4700,5218,5509,5610,5188,4783,4259,3906,3149,2580,1968,1361,910,392,101,5610,1704,1326,1670,910,5610,422,405,524,353,240,136,133,248,319,250,292,320,301,306,223,84,144,109,159,250,188,103,101,5610,422,827,1351,1704,1944,2080,2213,2461,2780,3030,3322,3642,3943,4249,4472,4556,4700,4809,4968,5218,5406,5509,5610,5188,4783,4259,3906,3666,3530,3397,3149,2830,2580,2288,1968,1667,1361,1138,1054,910,801,642,392,204,101,2340,912,589,523,316,3270,792,737,1147,594,532,39,37,35,33,23,8,9,15,37,23,30,27,26,31,27,15,27,9,21,33,15,4,8,532,39
1541,3091200,Census Tract 912,"Census Tract 912, Kings County, New York",36047091200,140,0,36,47,22,,91200,6814,6814,105528,0.064570569,0.06457057,0.06457057,0,6814,2793,4021,6814,2793,289,273,349,261,495,307,228,267,175,104,36,9,4021,247,242,361,252,531,448,590,548,378,280,101,43,6814,2793,289,562,911,1172,1667,1974,2202,2469,2644,2748,2784,4021,247,489,850,1102,1633,2081,2671,3219,3597,3877,3978,6814,2793,2504,2231,1882,1621,1126,819,591,324,149,45,9,4021,3774,3532,3171,2919,2388,1940,1350,802,424,144,43,6814,2793,1172,802,670,149,4021,1102,979,1516,424,6814,536,515,710,513,1026,755,818,815,553,384,137,52,6814,536,1051,1761,2274,3300,4055,4873,5688,6241,6625,6762,6814,6278,5763,5053,4540,3514,2759,1941,1126,573,189,52,6814,2274,1781,2186,573,6814,536,515,710,513,344,155,156,371,413,342,379,439,439,376,284,123,146,93,112,179,95,42,52,6814,536,1051,1761,2274,2618,2773,2929,3300,3713,4055,4434,4873,5312,5688,5972,6095,6241,6334,6446,6625,6720,6762,6814,6278,5763,5053,4540,4196,4041,3885,3514,3101,2759,2380,1941,1502,1126,842,719,573,480,368,189,94,52,2793,1172,802,670,149,4021,1102,979,1516,424,538,39,54,65,41,24,5,15,19,30,20,37,43,38,19,17,11,20,9,6,10,9,2,5,538,39
1542,3118201,Census Tract 1182.01,"Census Tract 1182.01, Kings County, New York",36047118201,140,0,36,47,22,,118201,3002,3002,61518.54,0.048798296,0.0487983,0.0487983,0,3002,1454,1548,3002,1454,110,109,137,85,203,194,190,197,133,73,21,2,1548,103,95,133,88,210,215,253,225,111,69,33,13,3002,1454,110,219,356,441,644,838,1028,1225,1358,1431,1452,1548,103,198,331,419,629,844,1097,1322,1433,1502,1535,3002,1454,1344,1235,1098,1013,810,616,426,229,96,23,2,1548,1445,1350,1217,1129,919,704,451,226,115,46,13,3002,1454,441,397,520,96,1548,419,425,589,115,3002,213,204,270,173,413,409,443,422,244,142,54,15,3002,213,417,687,860,1273,1682,2125,2547,2791,2933,2987,3002,2789,2585,2315,2142,1729,1320,877,455,211,69,15,3002,860,822,1109,211,3002,213,204,270,173,127,52,48,186,223,186,215,228,221,201,154,42,48,35,49,58,32,22,15,3002,213,417,687,860,987,1039,1087,1273,1496,1682,1897,2125,2346,2547,2701,2743,2791,2826,2875,2933,2965,2987,3002,2789,2585,2315,2142,2015,1963,1915,1729,1506,1320,1105,877,656,455,301,259,211,176,127,69,37,15,1454,441,397,520,96,1548,419,425,589,115,764,50,50,70,32,31,12,8,47,47,52,69,48,54,45,59,13,16,7,16,13,10,9,6,764,50
1543,3118202,Census Tract 1182.02,"Census Tract 1182.02, Kings County, New York",36047118202,140,0,36,47,22,,118202,3083,3083,64226.29,0.048002153,0.04800215,0.04800215,0,3083,1480,1603,3083,1480,101,116,118,77,198,224,216,208,132,64,21,5,1603,136,106,138,78,185,231,227,219,161,78,31,13,3083,1480,101,217,335,412,610,834,1050,1258,1390,1454,1475,1603,136,242,380,458,643,874,1101,1320,1481,1559,1590,3083,1480,1379,1263,1145,1068,870,646,430,222,90,26,5,1603,1467,1361,1223,1145,960,729,502,283,122,44,13,3083,1480,412,422,556,90,1603,458,416,607,122,3083,237,222,256,155,383,455,443,427,293,142,52,18,3083,237,459,715,870,1253,1708,2151,2578,2871,3013,3065,3083,2846,2624,2368,2213,1830,1375,932,505,212,70,18,3083,870,838,1163,212,3083,237,222,256,155,108,56,61,158,230,225,209,234,230,197,157,64,72,41,54,47,28,24,18,3083,237,459,715,870,978,1034,1095,1253,1483,1708,1917,2151,2381,2578,2735,2799,2871,2912,2966,3013,3041,3065,3083,2846,2624,2368,2213,2105,2049,1988,1830,1600,1375,1166,932,702,505,348,284,212,171,117,70,42,18,1480,412,422,556,90,1603,458,416,607,122,803,66,68,59,38,19,17,12,27,63,57,52,59,56,52,47,14,20,12,17,14,15,8,11,803,66
1544,3118400,Census Tract 1184,"Census Tract 1184, Kings County, New York",36047118400,140,0,36,47,22,,118400,5420,5420,68495.47,0.079129324,0.07912932,0.07912932,0,5420,2650,2770,5420,2650,219,196,212,121,336,372,374,392,243,108,61,16,2770,204,192,200,130,352,423,376,388,263,148,74,20,5420,2650,219,415,627,748,1084,1456,1830,2222,2465,2573,2634,2770,204,396,596,726,1078,1501,1877,2265,2528,2676,2750,5420,2650,2431,2235,2023,1902,1566,1194,820,428,185,77,16,2770,2566,2374,2174,2044,1692,1269,893,505,242,94,20,5420,2650,748,708,1009,185,2770,726,775,1027,242,5420,423,388,412,251,688,795,750,780,506,256,135,36,5420,423,811,1223,1474,2162,2957,3707,4487,4993,5249,5384,5420,4997,4609,4197,3946,3258,2463,1713,933,427,171,36,5420,1474,1483,2036,427,5420,423,388,412,251,207,100,98,283,424,371,383,367,415,365,297,99,110,78,81,97,89,46,36,5420,423,811,1223,1474,1681,1781,1879,2162,2586,2957,3340,3707,4122,4487,4784,4883,4993,5071,5152,5249,5338,5384,5420,4997,4609,4197,3946,3739,3639,3541,3258,2834,2463,2080,1713,1298,933,636,537,427,349,268,171,82,36,2650,748,708,1009,185,2770,726,775,1027,242,1652,125,135,120,66,55,29,32,71,129,112,109,128,104,103,95,31,33,34,39,39,32,17,14,1652,125
1545,4041400,Census Tract 414,"Census Tract 414, Queens County, New York",36081041400,140,0,36,81,21,,41400,4033,4033,22108.3,0.18242015,0.1824201,0.1824201,0,4033,1858,2175,4033,1858,160,162,157,118,230,273,223,247,170,69,37,12,2175,139,133,137,89,229,351,298,327,225,140,73,34,4033,1858,160,322,479,597,827,1100,1323,1570,1740,1809,1846,2175,139,272,409,498,727,1078,1376,1703,1928,2068,2141,4033,1858,1698,1536,1379,1261,1031,758,535,288,118,49,12,2175,2036,1903,1766,1677,1448,1097,799,472,247,107,34,4033,1858,597,503,640,118,2175,498,580,850,247,4033,299,295,294,207,459,624,521,574,395,209,110,46,4033,299,594,888,1095,1554,2178,2699,3273,3668,3877,3987,4033,3734,3439,3145,2938,2479,1855,1334,760,365,156,46,4033,1095,1083,1490,365,4033,299,295,294,207,134,73,67,185,345,279,245,276,283,291,233,62,100,43,73,93,69,41,46,4033,299,594,888,1095,1229,1302,1369,1554,1899,2178,2423,2699,2982,3273,3506,3568,3668,3711,3784,3877,3946,3987,4033,3734,3439,3145,2938,2804,2731,2664,2479,2134,1855,1610,1334,1051,760,527,465,365,322,249,156,87,46,1858,597,503,640,118,2175,498,580,850,247,214,15,15,21,5,8,5,1,8,14,22,20,13,15,15,9,2,13,4,1,5,1,1,1,214,15
1546,4044000,Census Tract 440,"Census Tract 440, Queens County, New York",36081044000,140,0,36,81,21,,44000,3669,3669,25074.85,0.146321913,0.1463219,0.1463219,0,3669,1627,2042,3669,1627,119,145,134,106,227,214,243,215,129,66,23,6,2042,137,151,153,92,204,284,304,294,210,115,62,36,3669,1627,119,264,398,504,731,945,1188,1403,1532,1598,1621,2042,137,288,441,533,737,1021,1325,1619,1829,1944,2006,3669,1627,1508,1363,1229,1123,896,682,439,224,95,29,6,2042,1905,1754,1601,1509,1305,1021,717,423,213,98,36,3669,1627,504,441,587,95,2042,533,488,808,213,3669,256,296,287,198,431,498,547,509,339,181,85,42,3669,256,552,839,1037,1468,1966,2513,3022,3361,3542,3627,3669,3413,3117,2830,2632,2201,1703,1156,647,308,127,42,3669,1037,929,1395,308,3669,256,296,287,198,136,76,66,153,262,236,272,275,271,238,204,69,66,51,59,71,48,37,42,3669,256,552,839,1037,1173,1249,1315,1468,1730,1966,2238,2513,2784,3022,3226,3295,3361,3412,3471,3542,3590,3627,3669,3413,3117,2830,2632,2496,2420,2354,2201,1939,1703,1431,1156,885,647,443,374,308,257,198,127,79,42,1627,504,441,587,95,2042,533,488,808,213,136,8,15,17,6,1,5,2,1,11,14,16,8,10,7,6,1,2,0,1,0,0,3,2,136,8
1547,5009700,Census Tract 97,"Census Tract 97, Richmond County, New York",36085009700,140,0,36,85,19,,9700,3925,3925,8836.392,0.444185842,0.6062611,0.4441859,0.1620753,3925,1857,2068,3925,1857,157,161,145,99,201,232,259,257,214,83,41,8,2068,168,168,131,126,200,271,316,280,224,88,67,29,3925,1857,157,318,463,562,763,995,1254,1511,1725,1808,1849,2068,168,336,467,593,793,1064,1380,1660,1884,1972,2039,3925,1857,1700,1539,1394,1295,1094,862,603,346,132,49,8,2068,1900,1732,1601,1475,1275,1004,688,408,184,96,29,3925,1857,562,433,730,132,2068,593,471,820,184,3925,325,329,276,225,401,503,575,537,438,171,108,37,3925,325,654,930,1155,1556,2059,2634,3171,3609,3780,3888,3925,3600,3271,2995,2770,2369,1866,1291,754,316,145,37,3925,1155,904,1550,316,3925,325,329,276,225,129,61,43,168,207,296,290,285,252,285,245,94,99,55,60,56,52,56,37,3925,325,654,930,1155,1284,1345,1388,1556,1763,2059,2349,2634,2886,3171,3416,3510,3609,3664,3724,3780,3832,3888,3925,3600,3271,2995,2770,2641,2580,2537,2369,2162,1866,1576,1291,1039,754,509,415,316,261,201,145,93,37,1857,562,433,730,132,2068,593,471,820,184,1944,136,115,109,92,52,23,16,72,86,135,134,157,137,181,162,60,64,37,42,38,31,34,31,1944,136
1548,5013302,Census Tract 133.02,"Census Tract 133.02, Richmond County, New York",36085013302,140,0,36,85,19,,13302,3587,3587,10958.37,0.327329702,0.3273297,0.3273297,0,3587,1796,1791,3587,1796,174,190,151,105,225,249,234,261,136,46,16,9,1791,168,139,139,119,221,261,245,246,135,63,46,9,3587,1796,174,364,515,620,845,1094,1328,1589,1725,1771,1787,1791,168,307,446,565,786,1047,1292,1538,1673,1736,1782,3587,1796,1622,1432,1281,1176,951,702,468,207,71,25,9,1791,1623,1484,1345,1226,1005,744,499,253,118,55,9,3587,1796,620,474,631,71,1791,565,482,626,118,3587,342,329,290,224,446,510,479,507,271,109,62,18,3587,342,671,961,1185,1631,2141,2620,3127,3398,3507,3569,3587,3245,2916,2626,2402,1956,1446,967,460,189,80,18,3587,1185,956,1257,189,3587,342,329,290,224,150,51,76,169,266,244,233,246,262,245,176,30,65,23,38,48,33,29,18,3587,342,671,961,1185,1335,1386,1462,1631,1897,2141,2374,2620,2882,3127,3303,3333,3398,3421,3459,3507,3540,3569,3587,3245,2916,2626,2402,2252,2201,2125,1956,1690,1446,1213,967,705,460,284,254,189,166,128,80,47,18,1796,620,474,631,71,1791,565,482,626,118,1064,97,88,59,57,38,7,23,48,77,84,69,63,78,81,70,16,21,5,12,25,16,15,15,1064,97
1549,5014100,Census Tract 141,"Census Tract 141, Richmond County, New York",36085014100,140,0,36,85,19,,14100,2690,2690,22312.25,0.120561562,0.1205616,0.1205616,0,2690,1293,1397,2690,1293,96,96,109,79,114,191,211,198,109,57,24,9,1397,111,95,87,61,129,242,198,187,154,75,39,19,2690,1293,96,192,301,380,494,685,896,1094,1203,1260,1284,1397,111,206,293,354,483,725,923,1110,1264,1339,1378,2690,1293,1197,1101,992,913,799,608,397,199,90,33,9,1397,1286,1191,1104,1043,914,672,474,287,133,58,19,2690,1293,380,305,518,90,1397,354,371,539,133,2690,207,191,196,140,243,433,409,385,263,132,63,28,2690,207,398,594,734,977,1410,1819,2204,2467,2599,2662,2690,2483,2292,2096,1956,1713,1280,871,486,223,91,28,2690,734,676,1057,223,2690,207,191,196,140,71,40,35,97,213,220,208,201,208,177,141,50,72,28,40,64,34,29,28,2690,207,398,594,734,805,845,880,977,1190,1410,1618,1819,2027,2204,2345,2395,2467,2495,2535,2599,2633,2662,2690,2483,2292,2096,1956,1885,1845,1810,1713,1500,1280,1072,871,663,486,345,295,223,195,155,91,57,28,1293,380,305,518,90,1397,354,371,539,133,1464,98,88,88,72,24,22,17,50,116,115,102,101,121,106,98,28,52,16,28,49,23,26,24,1464,98
1550,1021900,Census Tract 219,"Census Tract 219, New York County, New York",36061021900,140,0,36,61,21,,21900,6023,6023,54569.65,0.110372712,0.1819174,0.1103727,0.07154474,6023,2749,3274,6023,2749,172,220,225,200,403,395,331,352,203,149,81,18,3274,201,188,231,138,434,443,375,459,329,260,163,53,6023,2749,172,392,617,817,1220,1615,1946,2298,2501,2650,2731,3274,201,389,620,758,1192,1635,2010,2469,2798,3058,3221,6023,2749,2577,2357,2132,1932,1529,1134,803,451,248,99,18,3274,3073,2885,2654,2516,2082,1639,1264,805,476,216,53,6023,2749,817,798,886,248,3274,758,877,1163,476,6023,373,408,456,338,837,838,706,811,532,409,244,71,6023,373,781,1237,1575,2412,3250,3956,4767,5299,5708,5952,6023,5650,5242,4786,4448,3611,2773,2067,1256,724,315,71,6023,1575,1675,2049,724,6023,373,408,456,338,258,122,107,350,444,394,345,361,431,380,278,116,138,79,134,196,145,99,71,6023,373,781,1237,1575,1833,1955,2062,2412,2856,3250,3595,3956,4387,4767,5045,5161,5299,5378,5512,5708,5853,5952,6023,5650,5242,4786,4448,4190,4068,3961,3611,3167,2773,2428,2067,1636,1256,978,862,724,645,511,315,170,71,2749,817,798,886,248,3274,758,877,1163,476,1134,47,59,81,50,44,21,20,80,101,82,73,62,67,78,55,24,29,18,28,38,37,22,18,1134,47
1551,5017007,Census Tract 170.07,"Census Tract 170.07, Richmond County, New York",36085017007,140,0,36,85,19,,17007,4968,4968,8838.414,0.562091793,0.5625505,0.5620918,0.000458689,4968,2453,2515,4968,2453,202,217,185,118,197,336,467,351,233,106,37,4,2515,181,170,172,112,174,365,507,372,262,132,57,11,4968,2453,202,419,604,722,919,1255,1722,2073,2306,2412,2449,2515,181,351,523,635,809,1174,1681,2053,2315,2447,2504,4968,2453,2251,2034,1849,1731,1534,1198,731,380,147,41,4,2515,2334,2164,1992,1880,1706,1341,834,462,200,68,11,4968,2453,722,533,1051,147,2515,635,539,1141,200,4968,383,387,357,230,371,701,974,723,495,238,94,15,4968,383,770,1127,1357,1728,2429,3403,4126,4621,4859,4953,4968,4585,4198,3841,3611,3240,2539,1565,842,347,109,15,4968,1357,1072,2192,347,4968,383,387,357,230,118,63,48,142,296,405,500,474,374,349,295,96,104,69,73,96,55,39,15,4968,383,770,1127,1357,1475,1538,1586,1728,2024,2429,2929,3403,3777,4126,4421,4517,4621,4690,4763,4859,4914,4953,4968,4585,4198,3841,3611,3493,3430,3382,3240,2944,2539,2039,1565,1191,842,547,451,347,278,205,109,54,15,2453,722,533,1051,147,2515,635,539,1141,200,3756,290,276,249,163,84,49,33,108,261,317,376,349,277,272,238,73,82,54,55,64,42,31,13,3756,290
1552,1017800,Census Tract 178,"Census Tract 178, New York County, New York",36061017800,140,0,36,61,21,,17800,3912,3912,39005.21,0.100294287,0.1821348,0.1002943,0.08184053,3912,1927,1985,3912,1927,143,100,103,77,232,401,338,264,144,63,47,15,1985,115,128,100,88,196,456,319,264,141,81,74,23,3912,1927,143,243,346,423,655,1056,1394,1658,1802,1865,1912,1985,115,243,343,431,627,1083,1402,1666,1807,1888,1962,3912,1927,1784,1684,1581,1504,1272,871,533,269,125,62,15,1985,1870,1742,1642,1554,1358,902,583,319,178,97,23,3912,1927,423,633,746,125,1985,431,652,724,178,3912,258,228,203,165,428,857,657,528,285,144,121,38,3912,258,486,689,854,1282,2139,2796,3324,3609,3753,3874,3912,3654,3426,3223,3058,2630,1773,1116,588,303,159,38,3912,854,1285,1470,303,3912,258,228,203,165,102,59,54,213,422,435,360,297,289,239,171,45,69,43,41,60,72,49,38,3912,258,486,689,854,956,1015,1069,1282,1704,2139,2499,2796,3085,3324,3495,3540,3609,3652,3693,3753,3825,3874,3912,3654,3426,3223,3058,2956,2897,2843,2630,2208,1773,1413,1116,827,588,417,372,303,260,219,159,87,38,1927,423,633,746,125,1985,431,652,724,178,1658,91,73,75,50,42,21,20,98,208,195,160,110,117,91,75,17,46,24,25,29,36,32,23,1658,91
1553,4099701,Census Tract 997.01,"Census Tract 997.01, Queens County, New York",36081099701,140,0,36,81,21,,99701,2670,2670,7232.992,0.369141865,0.3691419,0.3691419,0,2670,1229,1441,2670,1229,69,53,56,25,67,180,154,194,183,107,94,47,1441,63,54,53,35,63,190,166,222,201,162,145,87,2670,1229,69,122,178,203,270,450,604,798,981,1088,1182,1441,63,117,170,205,268,458,624,846,1047,1209,1354,2670,1229,1160,1107,1051,1026,959,779,625,431,248,141,47,1441,1378,1324,1271,1236,1173,983,817,595,394,232,87,2670,1229,203,247,531,248,1441,205,253,589,394,2670,132,107,109,60,130,370,320,416,384,269,239,134,2670,132,239,348,408,538,908,1228,1644,2028,2297,2536,2670,2538,2431,2322,2262,2132,1762,1442,1026,642,373,134,2670,408,500,1120,642,2670,132,107,109,60,35,16,21,58,161,209,152,168,186,230,197,83,104,67,82,120,140,99,134,2670,132,239,348,408,443,459,480,538,699,908,1060,1228,1414,1644,1841,1924,2028,2095,2177,2297,2437,2536,2670,2538,2431,2322,2262,2227,2211,2190,2132,1971,1762,1610,1442,1256,1026,829,746,642,575,493,373,233,134,1229,203,247,531,248,1441,205,253,589,394,2091,98,82,76,38,25,10,18,36,119,155,105,137,146,180,161,64,76,50,64,106,127,92,126,2091,98
1554,1030700,Census Tract 307,"Census Tract 307, New York County, New York",36061030700,140,0,36,61,21,,30700,3434,3434,105414.3,0.032576213,0.03257621,0.03257621,0,3434,1673,1761,3434,1673,107,68,54,44,89,236,386,275,239,123,44,8,1761,93,63,59,38,100,270,340,284,274,125,79,36,3434,1673,107,175,229,273,362,598,984,1259,1498,1621,1665,1761,93,156,215,253,353,623,963,1247,1521,1646,1725,3434,1673,1566,1498,1444,1400,1311,1075,689,414,175,52,8,1761,1668,1605,1546,1508,1408,1138,798,514,240,115,36,3434,1673,273,325,900,175,1761,253,370,898,240,3434,200,131,113,82,189,506,726,559,513,248,123,44,3434,200,331,444,526,715,1221,1947,2506,3019,3267,3390,3434,3234,3103,2990,2908,2719,2213,1487,928,415,167,44,3434,526,695,1798,415,3434,200,131,113,82,42,10,18,119,213,293,365,361,278,281,285,106,122,59,92,97,68,55,44,3434,200,331,444,526,568,578,596,715,928,1221,1586,1947,2225,2506,2791,2897,3019,3078,3170,3267,3335,3390,3434,3234,3103,2990,2908,2866,2856,2838,2719,2506,2213,1848,1487,1209,928,643,537,415,356,264,167,99,44,1673,273,325,900,175,1761,253,370,898,240,2342,126,74,54,45,22,3,9,64,141,209,255,248,181,209,218,89,83,45,55,75,56,43,38,2342,126
